"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	Births
	"2018"	"2018"	"June"	"6"	"Triplet"	"3"	14
	"2018"	"2018"	"July"	"7"	"Single"	"1"	18971
	"2018"	"2018"	"July"	"7"	"Twin"	"2"	670
	"2018"	"2018"	"July"	"7"	"Triplet"	"3"	15
	"2018"	"2018"	"August"	"8"	"Single"	"1"	19599
	"2018"	"2018"	"August"	"8"	"Twin"	"2"	690
	"2018"	"2018"	"August"	"8"	"Triplet"	"3"	12
	"2018"	"2018"	"September"	"9"	"Single"	"1"	18307
	"2018"	"2018"	"September"	"9"	"Twin"	"2"	564
	"2018"	"2018"	"September"	"9"	"Triplet"	"3"	20
	"2018"	"2018"	"October"	"10"	"Single"	"1"	18579
	"2018"	"2018"	"October"	"10"	"Twin"	"2"	649
	"2018"	"2018"	"October"	"10"	"Triplet"	"3"	15
	"2018"	"2018"	"November"	"11"	"Single"	"1"	17749
	"2018"	"2018"	"November"	"11"	"Twin"	"2"	573
	"2018"	"2018"	"November"	"11"	"Triplet"	"3"	16
	"2018"	"2018"	"December"	"12"	"Single"	"1"	17775
	"2018"	"2018"	"December"	"12"	"Twin"	"2"	606
	"2018"	"2018"	"December"	"12"	"Triplet"	"3"	12
"---"
"Dataset: Natality, 2007-2018"
"Query Parameters:"
"States: New York (36)"
"Group By: Year; Month; Plurality or Multiple Birth"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Feb 17, 2020 3:56:54 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
