"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Weekday"	"Weekday Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	Births
	"2008"	"2008"	"April"	"4"	"Wednesday"	"4"	"Single"	"1"	3657
	"2008"	"2008"	"April"	"4"	"Wednesday"	"4"	"Twin"	"2"	152
"Total"	"2008"	"2008"	"April"	"4"	"Wednesday"	"4"			3815
	"2008"	"2008"	"April"	"4"	"Thursday"	"5"	"Single"	"1"	2931
	"2008"	"2008"	"April"	"4"	"Thursday"	"5"	"Twin"	"2"	140
"Total"	"2008"	"2008"	"April"	"4"	"Thursday"	"5"			3071
	"2008"	"2008"	"April"	"4"	"Friday"	"6"	"Single"	"1"	2908
	"2008"	"2008"	"April"	"4"	"Friday"	"6"	"Twin"	"2"	115
"Total"	"2008"	"2008"	"April"	"4"	"Friday"	"6"			3023
	"2008"	"2008"	"April"	"4"	"Saturday"	"7"	"Single"	"1"	2116
	"2008"	"2008"	"April"	"4"	"Saturday"	"7"	"Twin"	"2"	51
"Total"	"2008"	"2008"	"April"	"4"	"Saturday"	"7"			2167
"Total"	"2008"	"2008"	"April"	"4"					20520
	"2008"	"2008"	"May"	"5"	"Sunday"	"1"	"Single"	"1"	1877
	"2008"	"2008"	"May"	"5"	"Sunday"	"1"	"Twin"	"2"	62
"Total"	"2008"	"2008"	"May"	"5"	"Sunday"	"1"			1939
	"2008"	"2008"	"May"	"5"	"Monday"	"2"	"Single"	"1"	2519
	"2008"	"2008"	"May"	"5"	"Monday"	"2"	"Twin"	"2"	70
"Total"	"2008"	"2008"	"May"	"5"	"Monday"	"2"			2589
	"2008"	"2008"	"May"	"5"	"Tuesday"	"3"	"Single"	"1"	2969
	"2008"	"2008"	"May"	"5"	"Tuesday"	"3"	"Twin"	"2"	147
"Total"	"2008"	"2008"	"May"	"5"	"Tuesday"	"3"			3122
	"2008"	"2008"	"May"	"5"	"Wednesday"	"4"	"Single"	"1"	3057
	"2008"	"2008"	"May"	"5"	"Wednesday"	"4"	"Twin"	"2"	109
"Total"	"2008"	"2008"	"May"	"5"	"Wednesday"	"4"			3172
	"2008"	"2008"	"May"	"5"	"Thursday"	"5"	"Single"	"1"	3817
	"2008"	"2008"	"May"	"5"	"Thursday"	"5"	"Twin"	"2"	144
"Total"	"2008"	"2008"	"May"	"5"	"Thursday"	"5"			3967
	"2008"	"2008"	"May"	"5"	"Friday"	"6"	"Single"	"1"	3682
	"2008"	"2008"	"May"	"5"	"Friday"	"6"	"Twin"	"2"	119
"Total"	"2008"	"2008"	"May"	"5"	"Friday"	"6"			3805
	"2008"	"2008"	"May"	"5"	"Saturday"	"7"	"Single"	"1"	2717
	"2008"	"2008"	"May"	"5"	"Saturday"	"7"	"Twin"	"2"	83
"Total"	"2008"	"2008"	"May"	"5"	"Saturday"	"7"			2813
"Total"	"2008"	"2008"	"May"	"5"					21407
	"2008"	"2008"	"June"	"6"	"Sunday"	"1"	"Single"	"1"	2386
	"2008"	"2008"	"June"	"6"	"Sunday"	"1"	"Twin"	"2"	72
"Total"	"2008"	"2008"	"June"	"6"	"Sunday"	"1"			2464
	"2008"	"2008"	"June"	"6"	"Monday"	"2"	"Single"	"1"	3451
	"2008"	"2008"	"June"	"6"	"Monday"	"2"	"Twin"	"2"	151
"Total"	"2008"	"2008"	"June"	"6"	"Monday"	"2"			3608
	"2008"	"2008"	"June"	"6"	"Tuesday"	"3"	"Single"	"1"	3081
	"2008"	"2008"	"June"	"6"	"Tuesday"	"3"	"Twin"	"2"	110
"Total"	"2008"	"2008"	"June"	"6"	"Tuesday"	"3"			3197
	"2008"	"2008"	"June"	"6"	"Wednesday"	"4"	"Single"	"1"	2995
	"2008"	"2008"	"June"	"6"	"Wednesday"	"4"	"Twin"	"2"	128
	"2008"	"2008"	"June"	"6"	"Wednesday"	"4"	"Triplet"	"3"	10
"Total"	"2008"	"2008"	"June"	"6"	"Wednesday"	"4"			3133
	"2008"	"2008"	"June"	"6"	"Thursday"	"5"	"Single"	"1"	2988
	"2008"	"2008"	"June"	"6"	"Thursday"	"5"	"Twin"	"2"	139
"Total"	"2008"	"2008"	"June"	"6"	"Thursday"	"5"			3128
	"2008"	"2008"	"June"	"6"	"Friday"	"6"	"Single"	"1"	3027
	"2008"	"2008"	"June"	"6"	"Friday"	"6"	"Twin"	"2"	135
"Total"	"2008"	"2008"	"June"	"6"	"Friday"	"6"			3166
	"2008"	"2008"	"June"	"6"	"Saturday"	"7"	"Single"	"1"	2121
	"2008"	"2008"	"June"	"6"	"Saturday"	"7"	"Twin"	"2"	53
"Total"	"2008"	"2008"	"June"	"6"	"Saturday"	"7"			2174
"Total"	"2008"	"2008"	"June"	"6"					20870
	"2008"	"2008"	"July"	"7"	"Sunday"	"1"	"Single"	"1"	1899
	"2008"	"2008"	"July"	"7"	"Sunday"	"1"	"Twin"	"2"	56
"Total"	"2008"	"2008"	"July"	"7"	"Sunday"	"1"			1955
	"2008"	"2008"	"July"	"7"	"Monday"	"2"	"Single"	"1"	2701
	"2008"	"2008"	"July"	"7"	"Monday"	"2"	"Twin"	"2"	127
"Total"	"2008"	"2008"	"July"	"7"	"Monday"	"2"			2831
	"2008"	"2008"	"July"	"7"	"Tuesday"	"3"	"Single"	"1"	3931
	"2008"	"2008"	"July"	"7"	"Tuesday"	"3"	"Twin"	"2"	189
"Total"	"2008"	"2008"	"July"	"7"	"Tuesday"	"3"			4126
	"2008"	"2008"	"July"	"7"	"Wednesday"	"4"	"Single"	"1"	3780
	"2008"	"2008"	"July"	"7"	"Wednesday"	"4"	"Twin"	"2"	150
"Total"	"2008"	"2008"	"July"	"7"	"Wednesday"	"4"			3936
	"2008"	"2008"	"July"	"7"	"Thursday"	"5"	"Single"	"1"	3847
	"2008"	"2008"	"July"	"7"	"Thursday"	"5"	"Twin"	"2"	180
"Total"	"2008"	"2008"	"July"	"7"	"Thursday"	"5"			4027
	"2008"	"2008"	"July"	"7"	"Friday"	"6"	"Single"	"1"	2791
	"2008"	"2008"	"July"	"7"	"Friday"	"6"	"Twin"	"2"	108
"Total"	"2008"	"2008"	"July"	"7"	"Friday"	"6"			2902
	"2008"	"2008"	"July"	"7"	"Saturday"	"7"	"Single"	"1"	2068
	"2008"	"2008"	"July"	"7"	"Saturday"	"7"	"Twin"	"2"	54
"Total"	"2008"	"2008"	"July"	"7"	"Saturday"	"7"			2128
"Total"	"2008"	"2008"	"July"	"7"					21905
	"2008"	"2008"	"August"	"8"	"Sunday"	"1"	"Single"	"1"	2335
	"2008"	"2008"	"August"	"8"	"Sunday"	"1"	"Twin"	"2"	66
"Total"	"2008"	"2008"	"August"	"8"	"Sunday"	"1"			2404
	"2008"	"2008"	"August"	"8"	"Monday"	"2"	"Single"	"1"	2808
	"2008"	"2008"	"August"	"8"	"Monday"	"2"	"Twin"	"2"	136
"Total"	"2008"	"2008"	"August"	"8"	"Monday"	"2"			2947
	"2008"	"2008"	"August"	"8"	"Tuesday"	"3"	"Single"	"1"	3021
	"2008"	"2008"	"August"	"8"	"Tuesday"	"3"	"Twin"	"2"	149
	"2008"	"2008"	"August"	"8"	"Tuesday"	"3"	"Triplet"	"3"	13
"Total"	"2008"	"2008"	"August"	"8"	"Tuesday"	"3"			3183
	"2008"	"2008"	"August"	"8"	"Wednesday"	"4"	"Single"	"1"	2979
	"2008"	"2008"	"August"	"8"	"Wednesday"	"4"	"Twin"	"2"	105
"Total"	"2008"	"2008"	"August"	"8"	"Wednesday"	"4"			3090
	"2008"	"2008"	"August"	"8"	"Thursday"	"5"	"Single"	"1"	3083
	"2008"	"2008"	"August"	"8"	"Thursday"	"5"	"Twin"	"2"	114
"Total"	"2008"	"2008"	"August"	"8"	"Thursday"	"5"			3200
	"2008"	"2008"	"August"	"8"	"Friday"	"6"	"Single"	"1"	4024
	"2008"	"2008"	"August"	"8"	"Friday"	"6"	"Twin"	"2"	127
"Total"	"2008"	"2008"	"August"	"8"	"Friday"	"6"			4158
	"2008"	"2008"	"August"	"8"	"Saturday"	"7"	"Single"	"1"	2757
	"2008"	"2008"	"August"	"8"	"Saturday"	"7"	"Twin"	"2"	78
"Total"	"2008"	"2008"	"August"	"8"	"Saturday"	"7"			2838
"Total"	"2008"	"2008"	"August"	"8"					21820
	"2008"	"2008"	"September"	"9"	"Sunday"	"1"	"Single"	"1"	2097
	"2008"	"2008"	"September"	"9"	"Sunday"	"1"	"Twin"	"2"	63
"Total"	"2008"	"2008"	"September"	"9"	"Sunday"	"1"			2163
	"2008"	"2008"	"September"	"9"	"Monday"	"2"	"Single"	"1"	3389
	"2008"	"2008"	"September"	"9"	"Monday"	"2"	"Twin"	"2"	127
"Total"	"2008"	"2008"	"September"	"9"	"Monday"	"2"			3516
	"2008"	"2008"	"September"	"9"	"Tuesday"	"3"	"Single"	"1"	3841
	"2008"	"2008"	"September"	"9"	"Tuesday"	"3"	"Twin"	"2"	136
"Total"	"2008"	"2008"	"September"	"9"	"Tuesday"	"3"			3986
	"2008"	"2008"	"September"	"9"	"Wednesday"	"4"	"Single"	"1"	3079
	"2008"	"2008"	"September"	"9"	"Wednesday"	"4"	"Twin"	"2"	89
"Total"	"2008"	"2008"	"September"	"9"	"Wednesday"	"4"			3174
	"2008"	"2008"	"September"	"9"	"Thursday"	"5"	"Single"	"1"	3120
	"2008"	"2008"	"September"	"9"	"Thursday"	"5"	"Twin"	"2"	107
"Total"	"2008"	"2008"	"September"	"9"	"Thursday"	"5"			3236
	"2008"	"2008"	"September"	"9"	"Friday"	"6"	"Single"	"1"	3190
	"2008"	"2008"	"September"	"9"	"Friday"	"6"	"Twin"	"2"	111
"Total"	"2008"	"2008"	"September"	"9"	"Friday"	"6"			3307
	"2008"	"2008"	"September"	"9"	"Saturday"	"7"	"Single"	"1"	2254
	"2008"	"2008"	"September"	"9"	"Saturday"	"7"	"Twin"	"2"	66
"Total"	"2008"	"2008"	"September"	"9"	"Saturday"	"7"			2323
"Total"	"2008"	"2008"	"September"	"9"					21705
	"2008"	"2008"	"October"	"10"	"Sunday"	"1"	"Single"	"1"	1861
	"2008"	"2008"	"October"	"10"	"Sunday"	"1"	"Twin"	"2"	86
"Total"	"2008"	"2008"	"October"	"10"	"Sunday"	"1"			1954
	"2008"	"2008"	"October"	"10"	"Monday"	"2"	"Single"	"1"	2676
	"2008"	"2008"	"October"	"10"	"Monday"	"2"	"Twin"	"2"	120
	"2008"	"2008"	"October"	"10"	"Monday"	"2"	"Triplet"	"3"	13
"Total"	"2008"	"2008"	"October"	"10"	"Monday"	"2"			2815
	"2008"	"2008"	"October"	"10"	"Tuesday"	"3"	"Single"	"1"	2974
	"2008"	"2008"	"October"	"10"	"Tuesday"	"3"	"Twin"	"2"	123
"Total"	"2008"	"2008"	"October"	"10"	"Tuesday"	"3"			3100
	"2008"	"2008"	"October"	"10"	"Wednesday"	"4"	"Single"	"1"	3556
	"2008"	"2008"	"October"	"10"	"Wednesday"	"4"	"Twin"	"2"	119
	"2008"	"2008"	"October"	"10"	"Wednesday"	"4"	"Triplet"	"3"	12
"Total"	"2008"	"2008"	"October"	"10"	"Wednesday"	"4"			3687
	"2008"	"2008"	"October"	"10"	"Thursday"	"5"	"Single"	"1"	3631
	"2008"	"2008"	"October"	"10"	"Thursday"	"5"	"Twin"	"2"	152
"Total"	"2008"	"2008"	"October"	"10"	"Thursday"	"5"			3792
	"2008"	"2008"	"October"	"10"	"Friday"	"6"	"Single"	"1"	3666
	"2008"	"2008"	"October"	"10"	"Friday"	"6"	"Twin"	"2"	159
"Total"	"2008"	"2008"	"October"	"10"	"Friday"	"6"			3831
	"2008"	"2008"	"October"	"10"	"Saturday"	"7"	"Single"	"1"	2072
	"2008"	"2008"	"October"	"10"	"Saturday"	"7"	"Twin"	"2"	71
"Total"	"2008"	"2008"	"October"	"10"	"Saturday"	"7"			2143
"Total"	"2008"	"2008"	"October"	"10"					21322
	"2008"	"2008"	"November"	"11"	"Sunday"	"1"	"Single"	"1"	2300
	"2008"	"2008"	"November"	"11"	"Sunday"	"1"	"Twin"	"2"	73
"Total"	"2008"	"2008"	"November"	"11"	"Sunday"	"1"			2379
	"2008"	"2008"	"November"	"11"	"Monday"	"2"	"Single"	"1"	2621
	"2008"	"2008"	"November"	"11"	"Monday"	"2"	"Twin"	"2"	108
	"2008"	"2008"	"November"	"11"	"Monday"	"2"	"Triplet"	"3"	12
"Total"	"2008"	"2008"	"November"	"11"	"Monday"	"2"			2741
	"2008"	"2008"	"November"	"11"	"Tuesday"	"3"	"Single"	"1"	2936
	"2008"	"2008"	"November"	"11"	"Tuesday"	"3"	"Twin"	"2"	98
"Total"	"2008"	"2008"	"November"	"11"	"Tuesday"	"3"			3042
	"2008"	"2008"	"November"	"11"	"Wednesday"	"4"	"Single"	"1"	2753
	"2008"	"2008"	"November"	"11"	"Wednesday"	"4"	"Twin"	"2"	125
"Total"	"2008"	"2008"	"November"	"11"	"Wednesday"	"4"			2887
	"2008"	"2008"	"November"	"11"	"Thursday"	"5"	"Single"	"1"	2500
	"2008"	"2008"	"November"	"11"	"Thursday"	"5"	"Twin"	"2"	121
"Total"	"2008"	"2008"	"November"	"11"	"Thursday"	"5"			2627
	"2008"	"2008"	"November"	"11"	"Friday"	"6"	"Single"	"1"	2758
	"2008"	"2008"	"November"	"11"	"Friday"	"6"	"Twin"	"2"	135
"Total"	"2008"	"2008"	"November"	"11"	"Friday"	"6"			2906
	"2008"	"2008"	"November"	"11"	"Saturday"	"7"	"Single"	"1"	2621
	"2008"	"2008"	"November"	"11"	"Saturday"	"7"	"Twin"	"2"	55
"Total"	"2008"	"2008"	"November"	"11"	"Saturday"	"7"			2685
"Total"	"2008"	"2008"	"November"	"11"					19267
	"2008"	"2008"	"December"	"12"	"Sunday"	"1"	"Single"	"1"	1796
	"2008"	"2008"	"December"	"12"	"Sunday"	"1"	"Twin"	"2"	49
"Total"	"2008"	"2008"	"December"	"12"	"Sunday"	"1"			1845
	"2008"	"2008"	"December"	"12"	"Monday"	"2"	"Single"	"1"	3294
	"2008"	"2008"	"December"	"12"	"Monday"	"2"	"Twin"	"2"	137
"Total"	"2008"	"2008"	"December"	"12"	"Monday"	"2"			3437
	"2008"	"2008"	"December"	"12"	"Tuesday"	"3"	"Single"	"1"	3661
	"2008"	"2008"	"December"	"12"	"Tuesday"	"3"	"Twin"	"2"	171
"Total"	"2008"	"2008"	"December"	"12"	"Tuesday"	"3"			3835
	"2008"	"2008"	"December"	"12"	"Wednesday"	"4"	"Single"	"1"	3451
	"2008"	"2008"	"December"	"12"	"Wednesday"	"4"	"Twin"	"2"	108
"Total"	"2008"	"2008"	"December"	"12"	"Wednesday"	"4"			3567
	"2008"	"2008"	"December"	"12"	"Thursday"	"5"	"Single"	"1"	2545
	"2008"	"2008"	"December"	"12"	"Thursday"	"5"	"Twin"	"2"	120
"Total"	"2008"	"2008"	"December"	"12"	"Thursday"	"5"			2672
	"2008"	"2008"	"December"	"12"	"Friday"	"6"	"Single"	"1"	2779
	"2008"	"2008"	"December"	"12"	"Friday"	"6"	"Twin"	"2"	97
"Total"	"2008"	"2008"	"December"	"12"	"Friday"	"6"			2876
	"2008"	"2008"	"December"	"12"	"Saturday"	"7"	"Single"	"1"	2086
	"2008"	"2008"	"December"	"12"	"Saturday"	"7"	"Twin"	"2"	62
"Total"	"2008"	"2008"	"December"	"12"	"Saturday"	"7"			2156
"Total"	"2008"	"2008"	"December"	"12"					20388
"Total"	"2008"	"2008"							250383
	"2009"	"2009"	"January"	"1"	"Sunday"	"1"	"Single"	"1"	1810
	"2009"	"2009"	"January"	"1"	"Sunday"	"1"	"Twin"	"2"	39
"Total"	"2009"	"2009"	"January"	"1"	"Sunday"	"1"			1852
	"2009"	"2009"	"January"	"1"	"Monday"	"2"	"Single"	"1"	2478
	"2009"	"2009"	"January"	"1"	"Monday"	"2"	"Twin"	"2"	119
"Total"	"2009"	"2009"	"January"	"1"	"Monday"	"2"			2597
	"2009"	"2009"	"January"	"1"	"Tuesday"	"3"	"Single"	"1"	2944
	"2009"	"2009"	"January"	"1"	"Tuesday"	"3"	"Twin"	"2"	113
"Total"	"2009"	"2009"	"January"	"1"	"Tuesday"	"3"			3057
	"2009"	"2009"	"January"	"1"	"Wednesday"	"4"	"Single"	"1"	2925
	"2009"	"2009"	"January"	"1"	"Wednesday"	"4"	"Twin"	"2"	129
"Total"	"2009"	"2009"	"January"	"1"	"Wednesday"	"4"			3060
	"2009"	"2009"	"January"	"1"	"Thursday"	"5"	"Single"	"1"	3407
	"2009"	"2009"	"January"	"1"	"Thursday"	"5"	"Twin"	"2"	133
"Total"	"2009"	"2009"	"January"	"1"	"Thursday"	"5"			3543
	"2009"	"2009"	"January"	"1"	"Friday"	"6"	"Single"	"1"	3422
	"2009"	"2009"	"January"	"1"	"Friday"	"6"	"Twin"	"2"	154
"Total"	"2009"	"2009"	"January"	"1"	"Friday"	"6"			3585
	"2009"	"2009"	"January"	"1"	"Saturday"	"7"	"Single"	"1"	2552
	"2009"	"2009"	"January"	"1"	"Saturday"	"7"	"Twin"	"2"	86
"Total"	"2009"	"2009"	"January"	"1"	"Saturday"	"7"			2638
"Total"	"2009"	"2009"	"January"	"1"					20332
	"2009"	"2009"	"February"	"2"	"Sunday"	"1"	"Single"	"1"	1878
	"2009"	"2009"	"February"	"2"	"Sunday"	"1"	"Twin"	"2"	47
"Total"	"2009"	"2009"	"February"	"2"	"Sunday"	"1"			1928
	"2009"	"2009"	"February"	"2"	"Monday"	"2"	"Single"	"1"	2672
	"2009"	"2009"	"February"	"2"	"Monday"	"2"	"Twin"	"2"	103
"Total"	"2009"	"2009"	"February"	"2"	"Monday"	"2"			2779
	"2009"	"2009"	"February"	"2"	"Tuesday"	"3"	"Single"	"1"	2936
	"2009"	"2009"	"February"	"2"	"Tuesday"	"3"	"Twin"	"2"	143
"Total"	"2009"	"2009"	"February"	"2"	"Tuesday"	"3"			3084
	"2009"	"2009"	"February"	"2"	"Wednesday"	"4"	"Single"	"1"	2950
	"2009"	"2009"	"February"	"2"	"Wednesday"	"4"	"Twin"	"2"	102
"Total"	"2009"	"2009"	"February"	"2"	"Wednesday"	"4"			3059
	"2009"	"2009"	"February"	"2"	"Thursday"	"5"	"Single"	"1"	2935
	"2009"	"2009"	"February"	"2"	"Thursday"	"5"	"Twin"	"2"	99
"Total"	"2009"	"2009"	"February"	"2"	"Thursday"	"5"			3041
	"2009"	"2009"	"February"	"2"	"Friday"	"6"	"Single"	"1"	2856
	"2009"	"2009"	"February"	"2"	"Friday"	"6"	"Twin"	"2"	125
"Total"	"2009"	"2009"	"February"	"2"	"Friday"	"6"			2981
	"2009"	"2009"	"February"	"2"	"Saturday"	"7"	"Single"	"1"	2096
	"2009"	"2009"	"February"	"2"	"Saturday"	"7"	"Twin"	"2"	58
"Total"	"2009"	"2009"	"February"	"2"	"Saturday"	"7"			2156
"Total"	"2009"	"2009"	"February"	"2"					19028
	"2009"	"2009"	"March"	"3"	"Sunday"	"1"	"Single"	"1"	2219
	"2009"	"2009"	"March"	"3"	"Sunday"	"1"	"Twin"	"2"	79
	"2009"	"2009"	"March"	"3"	"Sunday"	"1"	"Triplet"	"3"	14
"Total"	"2009"	"2009"	"March"	"3"	"Sunday"	"1"			2312
	"2009"	"2009"	"March"	"3"	"Monday"	"2"	"Single"	"1"	3290
	"2009"	"2009"	"March"	"3"	"Monday"	"2"	"Twin"	"2"	142
	"2009"	"2009"	"March"	"3"	"Monday"	"2"	"Triplet"	"3"	11
"Total"	"2009"	"2009"	"March"	"3"	"Monday"	"2"			3443
	"2009"	"2009"	"March"	"3"	"Tuesday"	"3"	"Single"	"1"	3623
	"2009"	"2009"	"March"	"3"	"Tuesday"	"3"	"Twin"	"2"	137
	"2009"	"2009"	"March"	"3"	"Tuesday"	"3"	"Triplet"	"3"	16
"Total"	"2009"	"2009"	"March"	"3"	"Tuesday"	"3"			3780
	"2009"	"2009"	"March"	"3"	"Wednesday"	"4"	"Single"	"1"	2872
	"2009"	"2009"	"March"	"3"	"Wednesday"	"4"	"Twin"	"2"	118
	"2009"	"2009"	"March"	"3"	"Wednesday"	"4"	"Triplet"	"3"	15
"Total"	"2009"	"2009"	"March"	"3"	"Wednesday"	"4"			3005
	"2009"	"2009"	"March"	"3"	"Thursday"	"5"	"Single"	"1"	2982
	"2009"	"2009"	"March"	"3"	"Thursday"	"5"	"Twin"	"2"	134
"Total"	"2009"	"2009"	"March"	"3"	"Thursday"	"5"			3119
	"2009"	"2009"	"March"	"3"	"Friday"	"6"	"Single"	"1"	2864
	"2009"	"2009"	"March"	"3"	"Friday"	"6"	"Twin"	"2"	136
"Total"	"2009"	"2009"	"March"	"3"	"Friday"	"6"			3003
	"2009"	"2009"	"March"	"3"	"Saturday"	"7"	"Single"	"1"	2084
	"2009"	"2009"	"March"	"3"	"Saturday"	"7"	"Twin"	"2"	68
"Total"	"2009"	"2009"	"March"	"3"	"Saturday"	"7"			2152
"Total"	"2009"	"2009"	"March"	"3"					20814
	"2009"	"2009"	"April"	"4"	"Sunday"	"1"	"Single"	"1"	1870
	"2009"	"2009"	"April"	"4"	"Sunday"	"1"	"Twin"	"2"	50
"Total"	"2009"	"2009"	"April"	"4"	"Sunday"	"1"			1923
	"2009"	"2009"	"April"	"4"	"Monday"	"2"	"Single"	"1"	2679
	"2009"	"2009"	"April"	"4"	"Monday"	"2"	"Twin"	"2"	116
"Total"	"2009"	"2009"	"April"	"4"	"Monday"	"2"			2798
	"2009"	"2009"	"April"	"4"	"Tuesday"	"3"	"Single"	"1"	2992
	"2009"	"2009"	"April"	"4"	"Tuesday"	"3"	"Twin"	"2"	134
	"2009"	"2009"	"April"	"4"	"Tuesday"	"3"	"Triplet"	"3"	10
"Total"	"2009"	"2009"	"April"	"4"	"Tuesday"	"3"			3136
	"2009"	"2009"	"April"	"4"	"Wednesday"	"4"	"Single"	"1"	3603
	"2009"	"2009"	"April"	"4"	"Wednesday"	"4"	"Twin"	"2"	132
	"2009"	"2009"	"April"	"4"	"Wednesday"	"4"	"Triplet"	"3"	23
"Total"	"2009"	"2009"	"April"	"4"	"Wednesday"	"4"			3758
	"2009"	"2009"	"April"	"4"	"Thursday"	"5"	"Single"	"1"	3586
	"2009"	"2009"	"April"	"4"	"Thursday"	"5"	"Twin"	"2"	155
"Total"	"2009"	"2009"	"April"	"4"	"Thursday"	"5"			3744
	"2009"	"2009"	"April"	"4"	"Friday"	"6"	"Single"	"1"	2848
	"2009"	"2009"	"April"	"4"	"Friday"	"6"	"Twin"	"2"	112
"Total"	"2009"	"2009"	"April"	"4"	"Friday"	"6"			2970
	"2009"	"2009"	"April"	"4"	"Saturday"	"7"	"Single"	"1"	2113
	"2009"	"2009"	"April"	"4"	"Saturday"	"7"	"Twin"	"2"	58
"Total"	"2009"	"2009"	"April"	"4"	"Saturday"	"7"			2177
"Total"	"2009"	"2009"	"April"	"4"					20506
	"2009"	"2009"	"May"	"5"	"Sunday"	"1"	"Single"	"1"	2365
	"2009"	"2009"	"May"	"5"	"Sunday"	"1"	"Twin"	"2"	75
"Total"	"2009"	"2009"	"May"	"5"	"Sunday"	"1"			2440
	"2009"	"2009"	"May"	"5"	"Monday"	"2"	"Single"	"1"	2435
	"2009"	"2009"	"May"	"5"	"Monday"	"2"	"Twin"	"2"	103
"Total"	"2009"	"2009"	"May"	"5"	"Monday"	"2"			2547
	"2009"	"2009"	"May"	"5"	"Tuesday"	"3"	"Single"	"1"	2959
	"2009"	"2009"	"May"	"5"	"Tuesday"	"3"	"Twin"	"2"	124
"Total"	"2009"	"2009"	"May"	"5"	"Tuesday"	"3"			3092
	"2009"	"2009"	"May"	"5"	"Wednesday"	"4"	"Single"	"1"	2994
	"2009"	"2009"	"May"	"5"	"Wednesday"	"4"	"Twin"	"2"	142
"Total"	"2009"	"2009"	"May"	"5"	"Wednesday"	"4"			3145
	"2009"	"2009"	"May"	"5"	"Thursday"	"5"	"Single"	"1"	2976
	"2009"	"2009"	"May"	"5"	"Thursday"	"5"	"Twin"	"2"	119
	"2009"	"2009"	"May"	"5"	"Thursday"	"5"	"Triplet"	"3"	12
"Total"	"2009"	"2009"	"May"	"5"	"Thursday"	"5"			3107
	"2009"	"2009"	"May"	"5"	"Friday"	"6"	"Single"	"1"	3677
	"2009"	"2009"	"May"	"5"	"Friday"	"6"	"Twin"	"2"	171
	"2009"	"2009"	"May"	"5"	"Friday"	"6"	"Triplet"	"3"	12
"Total"	"2009"	"2009"	"May"	"5"	"Friday"	"6"			3860
	"2009"	"2009"	"May"	"5"	"Saturday"	"7"	"Single"	"1"	2765
	"2009"	"2009"	"May"	"5"	"Saturday"	"7"	"Twin"	"2"	83
"Total"	"2009"	"2009"	"May"	"5"	"Saturday"	"7"			2854
"Total"	"2009"	"2009"	"May"	"5"					21045
	"2009"	"2009"	"June"	"6"	"Sunday"	"1"	"Single"	"1"	1908
	"2009"	"2009"	"June"	"6"	"Sunday"	"1"	"Twin"	"2"	72
"Total"	"2009"	"2009"	"June"	"6"	"Sunday"	"1"			1983
	"2009"	"2009"	"June"	"6"	"Monday"	"2"	"Single"	"1"	3583
	"2009"	"2009"	"June"	"6"	"Monday"	"2"	"Twin"	"2"	131
	"2009"	"2009"	"June"	"6"	"Monday"	"2"	"Triplet"	"3"	14
"Total"	"2009"	"2009"	"June"	"6"	"Monday"	"2"			3728
	"2009"	"2009"	"June"	"6"	"Tuesday"	"3"	"Single"	"1"	3853
	"2009"	"2009"	"June"	"6"	"Tuesday"	"3"	"Twin"	"2"	195
"Total"	"2009"	"2009"	"June"	"6"	"Tuesday"	"3"			4051
	"2009"	"2009"	"June"	"6"	"Wednesday"	"4"	"Single"	"1"	2965
	"2009"	"2009"	"June"	"6"	"Wednesday"	"4"	"Twin"	"2"	107
"Total"	"2009"	"2009"	"June"	"6"	"Wednesday"	"4"			3075
	"2009"	"2009"	"June"	"6"	"Thursday"	"5"	"Single"	"1"	2963
	"2009"	"2009"	"June"	"6"	"Thursday"	"5"	"Twin"	"2"	135
"Total"	"2009"	"2009"	"June"	"6"	"Thursday"	"5"			3107
	"2009"	"2009"	"June"	"6"	"Friday"	"6"	"Single"	"1"	3060
	"2009"	"2009"	"June"	"6"	"Friday"	"6"	"Twin"	"2"	125
"Total"	"2009"	"2009"	"June"	"6"	"Friday"	"6"			3194
	"2009"	"2009"	"June"	"6"	"Saturday"	"7"	"Single"	"1"	2180
	"2009"	"2009"	"June"	"6"	"Saturday"	"7"	"Twin"	"2"	67
"Total"	"2009"	"2009"	"June"	"6"	"Saturday"	"7"			2251
"Total"	"2009"	"2009"	"June"	"6"					21389
	"2009"	"2009"	"July"	"7"	"Sunday"	"1"	"Single"	"1"	1938
	"2009"	"2009"	"July"	"7"	"Sunday"	"1"	"Twin"	"2"	64
	"2009"	"2009"	"July"	"7"	"Sunday"	"1"	"Triplet"	"3"	14
"Total"	"2009"	"2009"	"July"	"7"	"Sunday"	"1"			2016
	"2009"	"2009"	"July"	"7"	"Monday"	"2"	"Single"	"1"	2702
	"2009"	"2009"	"July"	"7"	"Monday"	"2"	"Twin"	"2"	135
"Total"	"2009"	"2009"	"July"	"7"	"Monday"	"2"			2837
	"2009"	"2009"	"July"	"7"	"Tuesday"	"3"	"Single"	"1"	3160
	"2009"	"2009"	"July"	"7"	"Tuesday"	"3"	"Twin"	"2"	119
"Total"	"2009"	"2009"	"July"	"7"	"Tuesday"	"3"			3283
	"2009"	"2009"	"July"	"7"	"Wednesday"	"4"	"Single"	"1"	3878
	"2009"	"2009"	"July"	"7"	"Wednesday"	"4"	"Twin"	"2"	152
"Total"	"2009"	"2009"	"July"	"7"	"Wednesday"	"4"			4035
