"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"2007"	"2007"	"September"	"9"	"39 weeks"	"39"	5517
	"2007"	"2007"	"September"	"9"	"40 weeks"	"40"	4647
	"2007"	"2007"	"September"	"9"	"41 weeks"	"41"	1989
	"2007"	"2007"	"September"	"9"	"42 weeks"	"42"	708
	"2007"	"2007"	"September"	"9"	"43 weeks"	"43"	306
	"2007"	"2007"	"September"	"9"	"44 weeks"	"44"	152
	"2007"	"2007"	"September"	"9"	"45 weeks"	"45"	87
	"2007"	"2007"	"September"	"9"	"46 weeks"	"46"	25
	"2007"	"2007"	"September"	"9"	"47 weeks"	"47"	18
	"2007"	"2007"	"September"	"9"	"Unknown or Not Stated"	"99"	14
"Total"	"2007"	"2007"	"September"	"9"			20656
	"2007"	"2007"	"October"	"10"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"October"	"10"	"18 weeks"	"18"	Suppressed
	"2007"	"2007"	"October"	"10"	"19 weeks"	"19"	Suppressed
	"2007"	"2007"	"October"	"10"	"20 weeks"	"20"	Suppressed
	"2007"	"2007"	"October"	"10"	"21 weeks"	"21"	Suppressed
	"2007"	"2007"	"October"	"10"	"22 weeks"	"22"	Suppressed
	"2007"	"2007"	"October"	"10"	"23 weeks"	"23"	13
	"2007"	"2007"	"October"	"10"	"24 weeks"	"24"	17
	"2007"	"2007"	"October"	"10"	"25 weeks"	"25"	14
	"2007"	"2007"	"October"	"10"	"26 weeks"	"26"	29
	"2007"	"2007"	"October"	"10"	"27 weeks"	"27"	32
	"2007"	"2007"	"October"	"10"	"28 weeks"	"28"	47
	"2007"	"2007"	"October"	"10"	"29 weeks"	"29"	34
	"2007"	"2007"	"October"	"10"	"30 weeks"	"30"	60
	"2007"	"2007"	"October"	"10"	"31 weeks"	"31"	70
	"2007"	"2007"	"October"	"10"	"32 weeks"	"32"	118
	"2007"	"2007"	"October"	"10"	"33 weeks"	"33"	178
	"2007"	"2007"	"October"	"10"	"34 weeks"	"34"	299
	"2007"	"2007"	"October"	"10"	"35 weeks"	"35"	438
	"2007"	"2007"	"October"	"10"	"36 weeks"	"36"	811
	"2007"	"2007"	"October"	"10"	"37 weeks"	"37"	1656
	"2007"	"2007"	"October"	"10"	"38 weeks"	"38"	3487
	"2007"	"2007"	"October"	"10"	"39 weeks"	"39"	5304
	"2007"	"2007"	"October"	"10"	"40 weeks"	"40"	4546
	"2007"	"2007"	"October"	"10"	"41 weeks"	"41"	2197
	"2007"	"2007"	"October"	"10"	"42 weeks"	"42"	696
	"2007"	"2007"	"October"	"10"	"43 weeks"	"43"	305
	"2007"	"2007"	"October"	"10"	"44 weeks"	"44"	145
	"2007"	"2007"	"October"	"10"	"45 weeks"	"45"	90
	"2007"	"2007"	"October"	"10"	"46 weeks"	"46"	24
	"2007"	"2007"	"October"	"10"	"47 weeks"	"47"	12
	"2007"	"2007"	"October"	"10"	"Unknown or Not Stated"	"99"	17
"Total"	"2007"	"2007"	"October"	"10"			20665
	"2007"	"2007"	"November"	"11"	"17 weeks"	"17"	Suppressed
	"2007"	"2007"	"November"	"11"	"18 weeks"	"18"	Suppressed
